,Latitude,Longitude,Depth_m,x,y,z,Time
219,42.66981087,-84.64566721,-1.64,57.824,38.212,191.141,2003-01-08T13:59:12
220,42.66982413,-84.64567622,-1.59,59.233,38.244,190.503,2003-01-08T13:59:14
221,42.66983738,-84.64567622,-1.5,59.012,37.949,189.909,2003-01-08T13:59:15
222,42.66984401,-84.64568523,-1.5,55.982,39.047,188.159,2003-01-08T13:59:16
223,42.66985726,-84.64568523,-1.49,57.935,43.904,188.15,2003-01-08T13:59:17
224,42.66986389,-84.64569425,-1.38,59.142,44.841,190.287,2003-01-08T13:59:18
225,42.66987052,-84.64570326,-1.35,57.521,40.612,192.693,2003-01-08T13:59:19
226,42.66988377,-84.64570326,-1.32,66.225,39.375,193.802,2003-01-08T13:59:20
227,42.66989703,-84.64571227,-1.36,70.796,34.644,191.785,2003-01-08T13:59:22
228,42.66991691,-84.64571227,-1.48,57.441,27.437,186.386,2003-01-08T13:59:24
229,42.66992354,-84.64572129,-1.46,28.248,14.912,174.157,2003-01-08T13:59:25
230,42.66993679,-84.64572129,-1.34,5.983,2.432,168.066,2003-01-08T13:59:27
231,42.66994342,-84.6457303,-1.28,4.04,0.421,175.385,2003-01-08T13:59:28
232,42.66995667,-84.6457303,-0.4,16.12,6.011,189.855,2003-01-08T13:59:30
233,42.66996993,-84.6457303,-0.54,28.124,11.545,201.312,2003-01-08T13:59:33
234,42.66998318,-84.6457303,-0.55,27.982,11.006,203.494,2003-01-08T13:59:39
235,42.66998981,-84.64573931,-0.3,13.352,5.068,210.092,2003-01-08T13:59:46
236,42.66998318,-84.6457303,-1.09,0.968,0.017,194.418,2003-01-08T14:00:28
237,42.66997656,-84.64573931,-1.02,0.074,-1.0,175.356,2003-01-08T14:00:32
238,42.66996993,-84.64574833,-0.97,0.0,-1.0,178.28,2003-01-08T14:00:52
239,42.66997656,-84.64573931,-0.94,0.001,-1.0,178.873,2003-01-08T14:01:04
240,42.66998981,-84.64573931,-0.97,0.003,-1.0,178.926,2003-01-08T14:01:19
241,42.66999644,-84.6457303,-0.97,0.002,-1.0,177.675,2003-01-08T14:01:30
242,42.66998318,-84.64573931,-0.95,-1.0,-1.0,176.529,2003-01-08T14:01:59
243,42.66998981,-84.6457303,-0.97,-1.0,-1.0,-1.0,2003-01-08T14:02:13
244,42.66998318,-84.64572129,-0.97,0.006,-1.0,200.154,2003-01-08T14:02:25
245,42.66999644,-84.64572129,-0.55,0.006,-1.0,202.944,2003-01-08T14:03:31
246,42.67000306,-84.6457303,-0.57,0.0,-1.0,192.152,2003-01-08T14:03:38
247,42.67000969,-84.64573931,-0.89,0.046,-1.0,178.084,2003-01-08T14:03:52
248,42.66999644,-84.64573931,-0.97,0.176,-1.0,176.456,2003-01-08T14:04:51
249,42.66998318,-84.64573931,-0.96,0.178,-1.0,175.705,2003-01-08T14:05:02
250,42.66996993,-84.64573931,-0.96,0.107,-1.0,176.147,2003-01-08T14:05:17
251,42.66997656,-84.6457303,-0.91,0.189,-1.0,177.427,2003-01-08T14:05:22
252,42.66998318,-84.64573931,-0.93,0.725,-1.0,177.897,2003-01-08T14:05:30
253,42.66999644,-84.64573931,-0.95,1.297,-1.0,176.778,2003-01-08T14:05:41
254,42.67000306,-84.64574833,-0.93,1.497,-1.0,175.991,2003-01-08T14:05:52
255,42.67000969,-84.64573931,-0.95,1.677,0.0,175.2,2003-01-08T14:05:59
256,42.67000969,-84.64575734,-0.95,1.901,0.001,175.194,2003-01-08T14:06:11
257,42.67001632,-84.64574833,-0.94,1.612,0.001,176.046,2003-01-08T14:06:34
